# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
ERROR Instantiating plugins model:,ERRORE creare un'istanza plugin modello:
ERROR checking plugins model install:,ERRORE verifica i plugin modello di installazione:
DONE,FATTO
"PHS version changed from %s to %s. Make sure you change main.php file by comparing it with distribution version and in case there are changes recorded, please update your main.php file accordingly. After you are sure everything is updated, change PHS_KNOWN_VERSION constant in first lines of main.php file to %s.","Versione PHS cambiato da%sa%s. Assicurati di modifica del file main.php confrontandolo con la versione della distribuzione e nel caso in cui ci sono cambiamenti registrati, si prega di aggiornare il file main.php di conseguenza. Dopo sei che tutto sia aggiornato, costante cambiamento PHS_KNOWN_VERSION in prime righe del file di main.php a%s."
ERROR while running system install script [%s]:,Errore di sistema durante l'esecuzione di script di installazione [%s]:
Couldn't load captcha plugin.,Non poteva caricare plugin captcha.
Invalid validation code.,Codice di validazione non valido.
Status %s,Stato %s
Unknown account.,Account sconosciuto.
Please provide a valid status.,Si prega di fornire uno stato valido.
Couldn't load agent jobs model.,Impossibile caricare processi dell'agente modello.
Please provide a handler for this agent job.,Si prega di fornire un handler per questo processo dell'agente.
N/A,N/A
Couldn't load plugins model.,Impossibile caricare il plugin modello.
Please provide a valid plugin name.,Si prega di fornire un nome del plugin valido.
Couldn't load roles model.,Impossibile caricare ruoli modello.
Account not found in database.,Account non trovato nel database.
Error loading accounts model.,Errore di caricamento del modello di conti.
seconds,secondi
Error rendering template [%s].,Errore di rendering modello [%s].
Unknown destination,Destinazione sconosciuta
Error obtaining flow details.,Errore durante il ottenendo i dettagli di flusso.
Please provide language you want to switch to.,Si prega di fornire lingua che si desidera passare.
Invalid language provided.,Lingua non valido fornito.
Couldn't change current language. Please try again.,Impossibile cambiare la lingua corrente. Si prega di riprovare.
Your message was succesfully sent. Thank you!,Il tuo messaggio è stato inviato con successo. Grazie!
You don't have rights to use contact us form.,Non si dispone di diritti di utilizzo modulo di contatto.
No email addresses setup in the platform.,Nessun indirizzi e-mail impostati nella piattaforma.
Please provide mandatory fields in the form.,Si prega di fornire i campi obbligatori del modulo.
Please provide a valid email address.,Per favore fornisci un indirizzo email valido.
Site Contact,Sito Contatto
Contact Us: %s,Contattaci: %s
Error sending email from contact form to [%s].,Errore durante l'invio e-mail dal modulo di contatto a [%s].
Failed sending email. Please try again.,Impossibile l'invio di e-mail. Si prega di riprovare.
Welcome,Benvenuto
Agent job details not found in database.,Dettagli di processo dell'agente non trovato nel database.
Agent job is suspended. You must activate plugin to activate it again.,Processo dell'agente è sospeso. È necessario attivare plugin per attivarlo di nuovo.
Error deleting agent job from database.,Errore cancellazione di processo dell'agente dal database.
Job not found in database.,Processo non trovato nel database.
Couldn't get agent jobs details.,Impossibile ottenere dettagli di processi dell'agente.
Couldn't get agent jobs model settings.,Impossibile ottenere impostazioni del modello processi dell'agente.
Please provide a route.,Si prega di fornire una route.
Please provide a handler for this task.,Si prega di fornire un handler per questo compito.
Handler already defined in database.,Handler già definito nel database.
