# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Σφάλμα φόρτωσης απαιτούμενων πόρων.
Active,Ενεργό
You should login first...,Πρέπει να συνδεθείτε πρώτα...
Title,Τίτλος
N/A,Μ/Α
Error saving details to database. Please try again.,Σφάλμα κατά την αποθήκευση λεπτομερειών στη βάση δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Company,Εταιρεία
Operator,Τελεστής
Account not found in database.,Ο λογαριασμός δεν βρέθηκε στη βάση δεδομένων.
Cancel,Ακύρωση
Error obtaining products import export directory path.,Σφάλμα κατά τη λήψη της διαδρομής καταλόγου εισαγωγής εξαγωγής προϊόντων.
Invalid flow parameters.,Μη έγκυρες παράμετροι ροής.
Inactive,Ανενεργό
Deleted,Διαγράφηκε
Nothing to export.,Τίποτα να εξάγετε.
Account locked temporarily because of too many login attempts.,Ο λογαριασμός έχει κλειδωθεί προσωρινά λόγω υπερβολικών προσπαθειών σύνδεσης.
Bad user or password.,Λανθασμένος χρήστης ή κωδικός πρόσβασης.
Error updating session.,Σφάλμα κατά την ενημέρωση της συνεδρίας.
Registration is closed for this site.,Η εγγραφή έχει κλείσει για αυτόν τον ιστότοπο.
Couldn't register user. Please try again.,Αδυναμία εγγραφής χρήστη. Παρακαλώ προσπαθήστε ξανά.
Wrong current password.,Λάθος τρέχων κωδικός πρόσβασης.
Invalid account.,Μη έγκυρος λογαριασμός.
Error sending forgot password email. Please try again.,Σφάλμα κατά την αποστολή email ξεχασμένου κωδικού πρόσβασης. Παρακαλώ προσπαθήστε ξανά.
Email,Ηλεκτρονικό Ταχυδρομείο
Username,Όνομα χρήστη
Password,Κωδικός πρόσβασης
Please provide a valid status.,Παρακαλώ παρέχετε ένα έγκυρο κατάσταση.
Login,Σύνδεση
Suspended,Ανασταλμένο
Account Registration Settings,Ρυθμίσεις Εγγραφής Λογαριασμού
Settings related to account registration.,Ρυθμίσεις που σχετίζονται με την εγγραφή λογαριασμού.
Email mandatory at registration,Το email είναι υποχρεωτικό κατά την εγγραφή
Should users provide emails when registering?,Θα πρέπει οι χρήστες να παρέχουν τα email κατά την εγγραφή;
Replace nick with email,Αντικαταστήστε το όνομα χρήστη με το email
"If, by any reasons, nickname is not provided when creating an account should it be replaced with provided email?","Εάν, για οποιονδήποτε λόγο, δεν παρέχεται ψευδώνυμο κατά τη δημιουργία λογαριασμού, πρέπει να αντικατασταθεί με το παρεχόμενο email;"
"Use only email, no nickname","Χρησιμοποιήστε μόνο το email, χωρίς ψευδώνυμο"
Hide nickname complately and use only email as nickname.,Απόκρυψη του ψευδώνυμου εντελώς και χρήση μόνο του email ως ψευδώνυμου.
Account requires activation,Ο λογαριασμός απαιτεί ενεργοποίηση
