# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Account Activation,Attivazione account
Couldn't load accounts plugin.,Impossibile caricare gli accounts plugin.
Couldn't load accounts model.,Impossibile caricare gli accounts modello.
Couldn't interpret confirmation parameter. Please try again.,Impossibile decodificare il parametro di conferma. Si prega di riprovare.
Action Confirmed...,Azione Confermata ...
Change Password,Cambia la password
You should login first...,Si dovrebbe effettuare il primo login ...
Password changed with success.,La password è stata modificata con successo.
Please provide mandatory fields.,Si prega di compilare i campi obbligatori.
Wrong current password.,La password corrente è sbagliata.
Passwords mismatch.,Mancata corrispondenza delle password.
Changes saved...,Modifiche salvate...
Error changing password. Please try again.,Errore durante il cambiamento della password. Riprova.
Edit Profile,Modifica Profilo
Couldn't load account details model.,Impossibile caricare il modello dei dettagli dell' account.
Changes saved to database.,Modifiche salvate sul database.
An email with your password was sent to email provided in your account details.,Al''indirizzo email che ci hai fornito ti invieremo un'e-mail con la password
Verification email sent... Please follow the steps in email to acknowledge your email address.,Email di verifica inviata... Si prega di seguire i passaggi indicati nell'e-mail per la conferma del tuo indirizzo email.
Couldn't send verification email. Please try again.,Non è stato possibile inviare l'email di verifica. Si prega di riprovare.
Error saving details to database. Please try again.,Errore di salvataggio dati sul database. Si prega di riprovare.
Forgot Password,Password dimenticata
Already logged in...,Hai già effettuato il login...
Email with instructions sent to provided email address.,Ti abbiamo inviato un'e-mail con le istruzioni all'indirizzo email che ci hai fornito.
Couldn't load captcha plugin.,Non poteva caricare plugin captcha.
Invalid validation code.,Codice di validazione non valido.
Invalid account.,Account non valido.
Error sending forgot password email. Please try again.,Errore durante l'invio dell'e-mail della password dimenticata. Si prega di riprovare.
Cannot send forgot password email to this account.,Non è possibile inviare l'email della password dimentica a questo account.
Password reset link,Rispristina la tua password
Error sending forgot password email to %s.,Errore durante l'invio dell' e-mail della password dimenticata a %s.
Login,Accedi
Your session expired. Please login again into your account.,Sessione scaduta. Si prega di effettuare nuovamente l'accesso al tuo account.
Account registered and active. You can login now.,Account registrato e attivo. Puoi effettuare il login ora.
Password changed with success. You can login now.,La Password è stata cambiata con successo. Puoi effettuare il login ora.
Please provide complete mandatory fields.,Si prega di completare i campi obbligatori.
Bad username or password.,Username o password sono errate.
Successfully logged in...,Accesso effettuato con successo...
Error logging in... Please try again.,Errore di accesso... Si prega di riprovare
Logout,Logout
You logged out from your account...,Ti sei disconnesso dal tuo account...
Successfully logged out...,Il logout è avvenuto con successo...
Error logging out... Please try again.,Errore di disconnessione... Si prega di riprovare
Account doesn't need password change notification.,L' account non ha bisogno della notifica della modifica della password.
Password changed,Password cambiata
Error sending password changed message to %s.,Errore durante l'invio del messaggio della password modificata a%s.
Register an Account,Registra un Account
User account registered with success...,Account utente registrato con successo ...
Passwords mistmatch.,Mancata corrispondenza delle password.
Couldn't register user. Please try again.,Impossibile registrare l'utente. Si prega di riprovare.
Cannot send registration confirmation to this account.,Non è possibile inviare la conferma di registrazione a questo account.
This account doesn't need a confirmation email anymore. Logged in before or already active.,Questo account non ha bisogno dell'e-mail di conferma. Primo login già  effettuato o già attivo.
Account Confirmation,Account Confermato
Error sending confirmation email to %s.,Errore durante l'invio dell'e-mail di conferma a %s.
Cannot send registration email to this account.,Non è possibile inviare l'e-mail della registrazione a questo account.
Error sending registration email to %s.,Errore durante l'invio dell'e-mail di registrazione a %s.
Account doesn't need email verification.,L'account non ha bisogno dell'e-mail di verifica.
Verify Email,Email di verifica
Error sending verify email message to %s.,Errore durante l'invio dell'e-mail del messaggio di verifica  a %s.
Level %s,Livello %s
Status %s,Stato %s
Unknown account.,Account sconosciuto.
Couldn't obtain account password.,Impossibile ottenere la password dell' account.
Error saving session details to database.,Errore durante il salvataggio dei dettagli della sessione del database.
Already logged in.,Sei già loggato.
Error sending confirmation email. Please try again.,Errore durante l'invio dell'e-mail di conferma. Si prega di riprovare.
Please provide an email.,Si prega di fornire un'e-mail.
Please provide a valid email.,Si prega di fornire un indirizzo email valido.
Please provide an username.,Si prega di fornire un nome utente.
Please provide a valid account level.,Si prega di fornire un livello di account valido.
Please provide a valid status.,Si prega di fornire uno stato valido.
Please provide a password.,Si prega di fornire una password.
Password should be at least %s characters.,La password deve avere almeno %s caratteri.
Click for details,Clicca per i dettagli
Password doesn't match regular expression %s.,La password non corrisponde alla giusta formulazione %s.
Username already exists in database. Please pick another one.,Questo nome utente esiste già nel database. Si prega di sceglierne un altro.
Email address exists in database. Please pick another one.,L'indirizzo e-mail esiste nel database. Si prega di sceglierne un altro.
Error obtaining account details model instance.,Errore nell'ottenere i dettagli dell'account del modello dell'istanza.
Error saving account details in database. Please try again.,Errore di salvataggio dei dati nell'account nel database. Si prega di riprovare.
Error sending activation email. Please try again.,Errore durante l'invio della e-mail di attivazione. Si prega di riprovare.
Invalid flow parameters while updating user details.,Parametri di flusso non validi durante l'aggiornamento dei dettagli dell'utente.
Invalid account to update details.,Account non valido per aggiornare i dettagli.
Couldn't link account details with the account. Please try again.,Impossibile collegare i dettagli dell'account con l'account. Si prega di riprovare.
Invalid email address.,Indirizzo email non valido.
Nickname already exists in database. Please pick another one.,Il nickname esiste già nel database. Si prega di sceglierne un altro.
Error saving account roles in database. Please try again.,Errore di salvataggio dei ruoli dell'account nella banca dati. Si prega di riprovare.
Please provide an user account id.,Si prega di fornire un id dell' account dell'utente.
Accounts Management,Accounts di gestione
Handles all functionality related to user accounts.,Gestisce tutte le funzionalità relative degli accounts utente.
Email mandatory at registration,E-mail obbligatoria al momento della registrazione
Replace nick with email,Sostituire nick con e-mail
"If, by any reasons, nickname is not provided when creating an account should it be replaced with provided email?","Se, per qualsiasi motivo, il nickname non è fornito quando si crea l'account dovrebbe essere sostituito con l'e-mail fornita?"
"Use only email, no nickname","Utilizzare solo e-mail, non nickname"
Hide nickname complately and use only email as nickname.,Nascondere il nickname e utilizzare solo l'e-mail come nickname.
Account requires activation,L'account richiede l'attivazione
"Should an account be activated before login after registration? When admin creates accounts, these will be automatically active.","L'account dovrebbe essere attivato prima del primo login dopo la registrazione? Quando che l'amministratore crea l'account, l'attivazione avvine automaticamente."
Generate password if not present,"Generare password, se non è presente"
"If, by any reasons, password is not present when creating an account autogenerate a password or return error?","Se, per qualsiasi motivo, la password non è stata creata durante la creazione dell'account, autogenerare una password o creare un errore?"
Emails should be unique,Le e-mails dovrebbe essere uniche
Should account creation fail if same email already exists in database?,La creazione dell'account dovrebbe fallire se la stessa e-mail esiste già nel database?
Minimum password length,Lunghezza minima della password
Password reg-exp,Password reg-exp
"If provided, all passwords have to pass this regular expression. Previous created accounts will not be affected by this.","Se previsto, tutte le password devono passare questa corretta formulazione. Gli accounts creati precedentemente non saranno influenzati da questo."
Password salt length,Lunghezza password salt
Each account uses it's own password salt. (Google salt for more details),Ogni account utilizza la propria password salt. (Google salt per maggiori dettagli)
Announce password change,Annunciare la modifica della password
Should system send an email to account's email address when password changes?,Il sistema dovrebbe inviare una e-mail all'indirizzo di posta elettronica dell'accountquando la password viene modificata?
Password lifetime (long) mins,Durata minima della validità della password
"After how many minutes should session expire if user ticked \""Remember Me\"" checkbox","Dopo quanti minuti la sessione dovrebbe scadere se l'utente fa clic su \""Ricordami\"" checkbox"
Password lifetime (short) mins,Durata minima della validità della password
"After how many minutes should session expire if user DIDN'T tick \""Remember Me\"" checkbox","Dopo quanti minuti la sessione dovrebbe scadere se l'utente NON ha fatto clic su \""Ricordami\"" checkbox"
Couldn't logout from subaccount.,Non poteva effettuare il logout dall'account secondario.
Couldn't logout from your account. Please retry.,Non puoi effettuare il logout dal tuo account. Si prega di riprovare.
Unknown or inactive account.,Account sconosciuto o inattivo.
Login failed. Please try again.,Accesso non riuscito. Si prega di riprovare.
Invalid confirmation reason.,Motivo di conferma non valido
Confirmation parameter is invalid or expired.,Il parametro di conferma è non valido o scaduto.
Your account is now active.,Il tuo account è attivo.
Your email address is now confirmed.,Il tuo indirizzo e-mail è confermato.
You can now change your password.,È ora possibile modificare la password.
Couldn't obtain confirmation parameters.,Non puoi ottenere i parametri di conferma.
Confirmation reason unknown.,Motivo di conferma sconosciuto.
Account doesn't require activation.,L'account non richiede l'attivazione.
Failed activating account. Please try again.,Impossibile attivare l'account. Si prega di riprovare.
Failed confirming email address. Please try again.,Impossibile confermare l'indirizzo e-mail. Si prega di riprovare.
Cannot change password for this account.,Non è possibile modificare la password per l'account.
Couldn't obtain change password page parameters. Please try again.,Impossibile ottenere i parametri della pagina per cambiare la password. Si prega di riprovare.
Confirmation action failed,Azione di conferma non riuscita
Hello %s.,Ciao %s.
Action required for confirmation failed. This might happen because confirmation link expired. Please try again.,Azione necessaria per la conferma non riuscita. Questo potrebbe accadere perché il link di conferma è scaduto. Si prega di riprovare.
Go to login page,Vai alla pagina di login
Username,Nome utente
Email,E-mail
Current Password,Password Attuale
New Password,Nuova Password
Password should pass regular expresion: ,La password deve avere la seguente caratteristica :
Password should pass regular expresion: %s.,La password deve avere la seguente caratteristica: %s.
Confirm Password,Password confermata
Change password,Cambia la password
NOT VERIFIED,NON VERIFICATO
Send verification email,E-mail di verifica inviata
Email is %s,L'e-mail è %s
VERIFIED,VERIFICATO
Title,Titolo
"eg. Mr., Ms., Mss., etc","ad es. Sig., Sig.ra, Sig.na, ecc"
First Name,Nome
