# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Άγνωστο σφάλμα.
Choose,Επιλέξτε
Error loading required resources.,Σφάλμα φόρτωσης απαιτούμενων πόρων.
INSTALLED,ΕΓΚΑΤΕΣΤΗΜΕΝΟ
Update URL vailable for %s.,Ενημέρωση διαθέσιμη για το URL %s.
"NOTE: Provided URL is forced to use HTTPS, if you don't have HTTPS enabled, change the link to use HTTP protocol.","ΣΗΜΕΙΩΣΗ: Η παρεχόμενη διεύθυνση URL είναι υποχρεωτικά να χρησιμοποιεί το πρωτόκολλο HTTPS, αν δεν έχετε ενεργοποιημένο το HTTPS, αλλάξτε τον σύνδεσμο για να χρησιμοποιεί το πρωτόκολλο HTTP."
Installed,Εγκατεστημένο
You should login first...,Πρέπει να συνδεθείτε πρώτα...
You don't have rights to access this section.,Δεν έχετε δικαιώματα πρόσβασης σε αυτήν την ενότητα.
 - Choose - , - Επιλέξτε - 
No,Όχι
Yes,Ναι
Inactivate,Απενεργοποίηση
Activate,Ενεργοποίηση
Delete,Διαγραφή
Title,Τίτλος
Status,Κατάσταση
N/A,Μ/Α
Undefined,Απροσδιόριστο
Created,Δημιουργήθηκε
Invalid,Μη έγκυρο
Actions,Ενέργειες
Unknown action.,Άγνωστη ενέργεια.
Error initiating upload procedure.,Σφάλμα κατά την εκκίνηση της διαδικασίας μεταφόρτωσης.
Unknown error. Please try again.,Άγνωστο σφάλμα. Παρακαλώ προσπαθήστε ξανά.
Error saving details to database. Please try again.,Σφάλμα κατά την αποθήκευση λεπτομερειών στη βάση δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Company,Εταιρεία
Note,Σημείωση
Last update,Τελευταία ενημέρωση
Translations,Μεταφράσεις
NOTE: You cannot undo this action!,ΣΗΜΕΙΩΣΗ: Δεν μπορείτε να αναιρέσετε αυτήν την ενέργεια!
Account not found in database.,Ο λογαριασμός δεν βρέθηκε στη βάση δεδομένων.
Name,Όνομα
Model,Μοντέλο
Type,Τύπος
All,Όλα
 - All - , - Όλα - 
Description,Περιγραφή
Back,Πίσω
Error sending request to the server. Please try again.,Σφάλμα κατά την αποστολή του αιτήματος στον διακομιστή. Παρακαλώ προσπαθήστε ξανά.
Cancel,Ακύρωση
Started,Ξεκίνησε
Finished,Ολοκληρώθηκε
Progress,Πρόοδος
Remove,Αφαίρεση
unknown,άγνωστο
You don't have enough rights to access this section.,Δεν έχετε αρκετά δικαιώματα για πρόσβαση σε αυτήν την ενότητα.
Save changes,Αποθήκευση αλλαγών
Edit,Επεξεργασία
Choose file,Επιλέξτε αρχείο
Select,Επιλογή
Please wait...,Παρακαλώ περιμένετε...
Models,Μοντέλα
System,Σύστημα
Date,Ημερομηνία
Nothing to export.,Τίποτα να εξάγετε.
Message deleted with success.,Το μήνυμα διαγράφηκε με επιτυχία.
Invalid account.,Μη έγκυρος λογαριασμός.
Email,Ηλεκτρονικό Ταχυδρομείο
Ok,Εντάξει
Created by,Δημιουργήθηκε από
Please provide a valid payload for translation.,Παρακαλώ παρέχετε ένα έγκυρο φορτίο για μετάφραση.
Please valid languages for translation.,Παρακαλώ έγκυρες γλώσσες για μετάφραση.
Error obtaining prompt for OpenAI request.,Σφάλμα κατά τη λήψη της προτροπής για το αίτημα του OpenAI.
Error sending request to OpenAI API.,Σφάλμα κατά την αποστολή αιτήματος προς το API της OpenAI.
Invalid OpenAI response.,Μη έγκυρη απάντηση OpenAI.
Error extracting OpenAI response.,Σφάλμα εξαγωγής απάντησης OpenAI.
Error loading OpenAI settings.,Σφάλμα φόρτωσης ρυθμίσεων OpenAI.
Running,Εκτέλεση
Error,Σφάλμα
Force stop,Διακοπή εξαναγκασμοϋ
Translation task hangs for %s. You might need to force stop it.,Η εργασία μετάφρασης κολλάει για %s. Ίσως χρειαστεί να την διακόψετε με εξωτερική επέμβαση.
Username,Όνομα χρήστη
Password,Κωδικός πρόσβασης
Route,Διαδρομή
Account,Λογαριασμός
Error sending request to server.,Σφάλμα κατά την αποστολή αιτήματος προς τον διακομιστή.
Couldn't load accounts model.,Αδυναμία φόρτωσης μοντέλου λογαριασμών.
