# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
DONE,FATTO
Couldn't load accounts plugin.,Impossibile caricare gli accounts plugin.
Couldn't load accounts model.,Impossibile caricare gli accounts modello.
You should login first...,Si dovrebbe effettuare il primo login ...
Error saving details to database. Please try again.,Errore di salvataggio dati sul database. Si prega di riprovare.
Password should be at least %s characters.,La password deve avere almeno %s caratteri.
Username,Nome utente
Email,E-mail
Password should pass regular expresion: ,La password deve avere la seguente caratteristica :
Password should pass regular expresion: %s.,La password deve avere la seguente caratteristica: %s.
Title,Titolo
"eg. Mr., Ms., Mrs., etc","ad es. Sig., Sig.ra, Sig.na, ecc"
First Name,Nome
Last Name,Cognome
Phone Number,Numero di telefono
Company,Società
Save Changes,Salva modifiche
Password,Password
Register,Registro
Add Agent Job,Aggiungere la funzione del responsabile
You don't have rights to manage agent jobs.,Non hai i diritti per gestire le funzioni del responsabile.
Couldn't load agent jobs model.,Impossibile caricare il modello degli incarichi del responsabile.
Please provide a handler for this agent job.,Si prega di fornire un'amministratore per questa funzione del responsabile.
Agent job handler already exists. Pick another one.,L'amministratore per questa funzione di responsabile esiste già. Sceglierne un altro.
Job parameters doesn't look like a valid JSON string or JSON is empty.,Il processo dei parametri non sembra una stringa JSON valida o il JSON è vuoto.
"Invalid plugin, controller or action selected. Please select valid values from drop down list.","Plugin non valido, controllare o selezionare un'azione. Si prega di selezionare i valori validi dal elenco a discesa."
"Couldn't compose a valid route using provided plugin, controller or action. Please select valid values from drop down list.","Impossibile comporre una route valida utilizzando il plugin fornito, controllore o selezionare un'azione. Si prega di selezionare i valori validi dall'elenco a discesa."
Please provide a valid running interval in seconds.,Si prega di fornire un intervallo di esecuzione valida in secondi.
Agent job details saved...,I dettagli delle funzioni del responsabile sono stati salvati...
Edit Agent Job,Modifica le funzioni del responsabile
Invalid agent job...,La funzione del responsabile non è valida...
Agent job details saved.,Dettagli delle funzioni del responsabile sono stati salvati.
Manage Agent Jobs,Gestire le funzioni del responsabile
Couldn't load libraries plugin.,Impossibile caricare i plugin delle librerie.
You don't have rights to list agent jobs.,Non si dispone dei diritti per classificare le funzioni del responsabile.
agent job,Funzione del responsabile
agent jobs,le funzioni del responsabile
Agent Jobs,Le funzioni del responsabile
Invalid agent job or agent job was not found in database.,La funzione del responsabile non è valida o la funzione dell'agente non è stata trovata nel database.
Agent job details saved in database.,I dettagli delle funzioni del responsabile sono state salvate nel database.
 - Choose - , - Scegliere - 
Inactivate,Disattivare
Activate,Attivare
Delete,Cancellare
Handler,Amministratore
All records containing this value at handler field,Tutti i documenti contenengono questo valore nel campo amministratore
Route,Percorso
All records containing this value at route field,Tutti i documenti contengono questo valore nel campo percorso
Status,Stato
N/A,N/A
Plugin,Plugin
Interval,Intervallo
Undefined,Non definito
Next run,Prossima esecuzione
Invalid,Non valido
Created,Creato
Actions,Azioni
Unknown action.,Azione sconosciuta.
Required agent jobs activated with success.,Le richieste per le funzioni del responsabile sono state attivate con successo.
Activating selected agent jobs failed. Please try again.,L'attivazione delle funzioni del responsabile selezionate non è riuscita. Si prega di riprovare.
Failed activating all selected agent jobs. Agent jobs which failed activation are still selected. Please try again.,Impossibile attivare tutte le funzioni del responsabile selezionate. Le funzioni del responsabile che non sono state attivate sono ancora selezionate. Si prega di riprovare.
Required agent jobs inactivated with success.,La richiesta di disattivare le funzioni del responsabile è avvenuta con successo.
Inactivating selected agent jobs failed. Please try again.,La disattivazione delle funzioni del responsabile non è riuscita. Si prega di riprovare.
Failed inactivating all selected agent jobs. Agent jobs which failed inactivation are still selected. Please try again.,Impossibile disattivare tutte le funzioni del responsabile selezionate. Le funzioni del responsabile che non sono state disattivate  sono ancora selezionate. Si prega di riprovare.
Required agent jobs deleted with success.,La richiesta per eliminare le funzioni del responsanbile è avvenuta con successo.
Deleting selected agent jobs failed. Please try again.,L'eliminazione delle funzioni del responsabile che sono state selezionate non è riuscita. Si prega di riprovare.
Failed deleting all selected agent jobs. Agent jobs which failed deletion are still selected. Please try again.,Impossibile eliminare tutte le funzioni del responsabile selezionate. L'eliminazione delle funzioni del responsche non è riuscita e sono ancora selezionate. Si prega di riprovare.
Agent job activated with success.,La funzione del responsabile è stata attivata con successo.
Activating agent job failed. Please try again.,L'attivazione della funzione del responsabile selezionata non è riuscita. Si prega di riprovare.
You don't have rights to manage agent job.,Non hai i diritti per gestire la funzione del responsabile.
Cannot activate address. Agent job not found in database.,Impossibile attivare l'indirizzo. LA funzionde del responsabile non è stata trovata nel database.
Agent job inactivated with success.,La funzione del responsabile è stata disattivata con successo.
Inactivating agent job failed. Please try again.,La disattivazione della funzione del resposabile non è riuscita. Si prega di riprovare.
Cannot inactivate address. Agent job not found in database.,Impossibile disattivare l'indirizzo. La funzionde del responsabile  non è stata trovata nel database.
Agent job deleted with success.,La funzione del responsabile è stata eliminata con successo.
Deleting agent job failed. Please try again.,L'eliminazione della funzione del responsabile non è riuscita. Si prega di riprovare.
Cannot delete address. Agent job not found in database.,Impossibile eliminare l'indirizzo. La funzionde del responsabile non è stata trovata nel database.
Runs every %s,Esecuzione ogni %s
Edit agent job,Modifica della funzione del responsabile
Activate agent job,Attivazione della funzionde del responsabile
Inactivate agent job,Disattivare la funzionde del responsabile
Delete agent job,Eliminare la funzionde del responsabile
Admin Area,Admin Area
Plugin Settings,Impostazioni del plugin
You don't have rights to list plugins.,Non si dispone dei diritti per elencare i plugin.
Settings saved in database.,Impostazioni salvate nel database.
Error saving settings in database. Please try again.,Errore di salvataggio delle impostazioni nel database. Si prega di riprovare.
Plugins' Integrity,Integrazione dei plugins
You don't have rights to manage plugins.,Non si dispone di diritti di gestione dei plugin.
Couldn't load plugins model.,Impossibile caricare il modello del plugin.
Please provide a valid plugin name.,Si prega di fornire un nome del plugin valido.
"Checking plugin %s (%s controllers, %s actions, %s models)...","Verifica dei plugin %s (%s controllori, %s azioni, %s modelli) ..."
INSTALLED,Installato
NOT Installed,Non Installato
Plugin name not provided for validity check,Il nome del plugin non è stato fornito per controllare la validità
Unknown error while instantiating plugin.,Errore durante l'installazione del plugin.
Unknown error while instantiating controller.,Errore sconosciuto durante l'installazione del controller.
Unknown error while instantiating action.,Errore sconosciuto durante l'installezione dell'azione.
Unknown error while instantiating model.,Errore sconosciuto durante l'installazionde del modello.
Nothing to instantiate. Please check parameters.,Nulla per creare un'istanza. Si prega di controllare i parametri.
Plugins List,Lista dei plugin
Plugin ID is invalid or plugin was not found.,Il plugin ID non è valido o non è stato trovato il plugin.
Couldn't get plugin info for %s.,Impossibile ottenere informazioni del plugin per %s.
plugin,plugin
plugins,plugin
Not Installed,Non Installati
All records containing this value,Tutti i documenti contenengono questo valore
Version,Versione
Installed / Script,Installato / Script
Status Date,Data dello Stato
Installed,Installato
Plugin installed with success.,Plugin installato con successo.
Installing plugin failed. Please try again.,L'installazione del plugin non è riuscita. Si prega di riprovare.
Cannot install plugin. Invalid module ID.,Impossibile installare il plugin. L'ID del modulo non è valido.
Couldn't instantiate plugin.,Impossibile creare un'istanza del plugin.
Plugin activated with success.,Il plugin è stato attivato con successo.
Activating plugin failed. Please try again.,Attivazione del plugin non è riuscita. Si prega di riprovare.
Cannot install plugin. Invalid plugin ID.,Impossibile installare il plugin. ID del plugin non è valido.
Plugin inactivated with success.,Plugin disattivato con successo.
Inactivating plugin failed. Please try again.,La disattivazione del plugin non è riuscita. Si prega di riprovare.
Cannot inactivate plugin. Invalid plugin ID.,Impossibile disattivare il plugin. ID del plugin non è valido.
Plugin upgraded with success.,Il plugin è stato aggiornato con successo.
Upgrading plugin failed. Please try again.,L'aggiornamento del plugin non è riuscita. Si prega di riprovare.
Cannot upgrade plugin. Invalid plugin ID.,Impossibile aggiornare il plugin. ID del plugin non è valido.
Plugin uninstalled with success.,Plugin disinstallato con successo.
Uninstalling plugin failed. Please try again.,Disinstallazione del plugin non è riuscita. Si prega di riprovare.
Cannot uninstall plugin. Invalid plugin ID.,Impossibile disinstallare il plugin. ID del plugin non è valido.
Plugin deleted with success.,Il plugin è stato eliminato con successo.
Deleting plugin failed. Please try again.,L'eliminazione del plugin non è riuscita. Si prega di riprovare.
Cannot delete plugin. Invalid plugin ID.,Impossibile eliminare il plugin. ID del plugin non è valido.
%s models,%s modelli
Install plugin,Installazione del plugin
Uninstall plugin,Disinstallazione del plugin
Activate plugin,Attivazione del plugin
Upgrade plugin,Aggiornamento del plugin
Inactivate plugin,Disattivazione del plugin
Delete plugin,Eliminazionde del plugin
Add Role,Aggiungere un ruolo
You don't have rights to manage roles.,Non si dispone dei diritti per gestire ruoli.
Couldn't load roles model.,Impossibile caricare i ruoli del modello.
Role details saved...,Dettagli dei ruoli salvati ...
Edit Role,Modifica ruolo
Invalid role...,Ruolo non valido ...
Role details saved.,Dettagli ruolo salvati.
Roles List,Lista ruoli
You don't have rights to list roles.,Non si dispone dei diritti per classificare i ruoli.
role,ruolo
roles,ruoli
Invalid role or role was not found in database.,Ruolo non valido o il ruolo non è stato trovato nel database.
Role details saved in database.,Dettagli del ruolo sono stati salvati nel database.
Name,Nome
Slug,Slug
Required roles activated with success.,I ruoli richiesti sono stati attivati con successo.
Activating selected roles failed. Please try again.,Attivazione dei ruoli selezionati non è riuscita. Si prega di riprovare.
