# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Eroare necunoscută.
Choose,Alege
Error loading required resources.,Eroare la încărcarea resurselor necesare.
INSTALLED,Instalat
Update URL vailable for %s.,Actualizare variabilă URL pentru %s.
"NOTE: Provided URL is forced to use HTTPS, if you don't have HTTPS enabled, change the link to use HTTP protocol.","NOTĂ: URL-ul furnizat este forțat să folosească HTTPS, dacă nu aveți HTTPS activat, schimbați link-ul să folosească protocolul HTTP."
Installed,Instalat
You should login first...,Trebuie mai întâi să vă logaţi...
You don't have rights to access this section.,Nu aveți destule drepturi pentru accesarea acestei secțiuni.
 - Choose - , - Alege - 
No,Nu
Yes,Da
Inactivate,Inactivează
Activate,Activează
Delete,Șterge
Title,Titlu
Status,Status
N/A,N/A
Undefined,Nedefinit
Created,Creat
Invalid,Invalid
Actions,Acţiuni
Unknown action.,Acțiune necunoscută.
Error initiating upload procedure.,Eroare la inițierea procedurii de încărcare.
Unknown error. Please try again.,Eroare necunoscută. Vă rugăm să încercați din nou.
Error saving details to database. Please try again.,Eroare la salvarea detaliilor în baza de date. Încercați din nou.
Company,Companie
Note,Notă
Last update,Ultima actualizare
Translations,Traduceri
NOTE: You cannot undo this action!,NOTĂ: Nu puteți anula această acțiune!
Account not found in database.,Contul nu a fost găsit în baza de date.
Name,Nume
Model,Model
Type,Tip
All,Tot
 - All - , - Tot - 
Description,Descriere
Back,Înapoi
Error sending request to the server. Please try again.,Eroare la trimiterea cererii la server. Încercați din nou.
Cancel,Anulare
Started,Început
Finished,Finalizat
Progress,Progres
Remove,Şterge
unknown,necunoscut
You don't have enough rights to access this section.,Nu aveti destule drepturi pentru accesarea acestei secţiuni.
Save changes,Salvează modificările
Edit,Editare
Choose file,Alege fişierul
Select,Selectează
Please wait...,Aşteptaţi...
Models,Modele
System,Sistem
Date,Dată
Nothing to export.,Nimic de exportat.
Message deleted with success.,Mesaj șters cu succes.
Invalid account.,Cont invalid.
Email,Email
Ok,Ok
Created by,Creat de
Please provide a valid payload for translation.,Vă rugăm să furnizați o încărcătură validă pentru traducere.
Please valid languages for translation.,Vă rugăm să validați limbile pentru traducere.
Error obtaining prompt for OpenAI request.,Eroare la obținerea solicitării pentru cererea OpenAI.
Error sending request to OpenAI API.,Eroare la trimiterea cererii către API-ul OpenAI.
Invalid OpenAI response.,Răspuns OpenAI invalid.
Error extracting OpenAI response.,Eroare la extragerea răspunsului OpenAI.
Error loading OpenAI settings.,Eroare la încărcarea setărilor OpenAI.
Running,Rulează
Error,Eroare
Force stop,Oprire forțată
Translation task hangs for %s. You might need to force stop it.,Sarcina de traducere se blochează pentru %s. S-ar putea să fie nevoie să o opriți forțat.
Username,Username
Password,Parola
Route,Rută
Account,Cont
Error sending request to server.,Eroare la trimiterea cererii către server.
Couldn't load accounts model.,Modelul conturilor nu a putut fi încărcat.
Couldn't load roles model.,Modelul de roluri nu a putut fi încărcat.
API settings,Setări API
Default theme in admin,Tema implicită în panoul de administrare
Should framework use default theme in admin section?,Ar trebui ca framework-ul să folosească tema implicită în secțiunea de administrare?
Current theme as default,Tema curentă ca implicită
"If using default theme in admin section, should we set current theme as default (helps with loading resources from current theme if needed in admin interface)","Dacă se folosește tema implicită în secțiunea de administrare, ar trebui să setăm tema curentă ca implicită (ajută la încărcarea resurselor din tema curentă, dacă este nevoie, în interfața de administrare)"
Language,Limbă
Close,Închide
seconds,secunde
File,Fişier
Size,Dimensiune
Log file,Fişierul de log
Couldn't load required resources.,Nu s-au putut încărca resursele necesare.
No directory provided to save export data to or no rights to write in that directory.,Nu a fost furnizat niciun director pentru a salva datele exportate sau nu există drepturi de scriere în acel director.
Couldn't create export file.,Nu am putut crea fişierul de export.
Headers already sent. Cannot send export file to browser.,Nu am putut trimite fişierul de export către browser. Hederele au fost deja trimise.
Password changed,Parola schimbată
Changes saved to database.,Detaliile salvate în baza de date.
Password should be at least %s characters.,Parola trebuie să fie de măcar %s caractere.
Password should pass regular expresion: ,Parola trebuie să treacă expresia regulată: 
Password should pass regular expresion: %s.,Parola trebuie să treacă expresia regulată: %s.
"eg. Mr., Ms., Mrs., etc","ex. Dn., Dna., Dra., etc"
First Name,Prenume
Last Name,Nume
Phone Number,Telefon
Save Changes,Salvează Modificările
Click for details,Click pentru detalii
Invalid data retention policy.,Politica de reținere a datelor invalidă.
Invalid data retention policy ids.,ID-urile politicii de reținere a datelor sunt invalide.
Error launching background job for data retention run.,Eroare la lansarea job-ului de fundal pentru rularea retenției datelor.
Invalid retention policy list.,Listă de politici de reținere nevalidă.
Data retention not found in database.,Retenția datelor nu a fost găsită în baza de date.
Error running data retention migration.,Eroare la rularea migrației de retenție a datelor.
Error while checking data retention existing table.,Eroare în timpul verificării retenției datelor în tabela existentă.
Error while checking data retention destination table.,Eroare în timpul verificării tabelului destinației de reținere a datelor.
Data retention configuration is invalid.,Configurarea reținerii datelor este invalidă.
Data retention record is invalid.,Înregistrarea de reținere a datelor este invalidă.
Error loading data retention model.,Eroare la încărcarea modelului de reținere a datelor.
Error setting up data retention model.,Eroare la configurarea modelului de reținere a datelor.
Data retention details are invalid.,Detaliile de reținere a datelor sunt invalide.
Error moving records for data retention policy.,Eroare la mutarea înregistrărilor pentru politica de reținere a datelor.
Error validating injected OpenAI settings.,Eroare la validarea setărilor OpenAI injectate.
Please provide valid OpenAI settings.,Vă rugăm să furnizați setările valide OpenAI.
Error decoding settings data.,Eroare la decodificarea datelor de setări.
Error decoding settings from encrypted array.,Eroare la decodificarea setărilor dintr-un tablou criptat.
Import JSON doesn't contain settngs for import..,Importul JSON nu conține setări pentru import.
Error saving settings for plugin %s.,Eroare la salvarea setărilor pentru modulul %s.
Error decoding JSON buffer to array.,Eroare la decodificarea buffer-ului JSON într-un array.
Error exporting plugin settings. No crypting key provided.,Eroare la exportarea setărilor modulului. Nu a fost furnizată nicio cheie de criptare.
Error encrypting plugin settings.,Eroare la criptarea setărilor modulului.
Invalid plugin provided.,Pluginul precizat este invalid.
Couldn't obtain plugin settings.,Nu s-au putut obține setările modulului.
Couldn't obtain plugin's models settings.,Nu s-au putut obține setările modelelor plugin-ului.
Error instantiating plugin %s.,Eroare la instanțierea plugin-ului %s.
Error saving models settings for plugin %s.,Eroare la salvarea setărilor modelelor pentru modulul %s.
"Error saving settings for model %s, plugin %s.","Eroare la salvarea setărilor pentru modelul %s, modulul %s."
Couldn't obtain plugin instance id.,Nu s-au putut obține idul instanţei de plugin.
Core,Nucleu
Couldn't instantiate model %s to extract settings.,Nu s-au putut iniția modelul %s pentru extragerea setărilor.
Couldn't initiate model %s to extract settings.,Nu s-au putut iniția modelul %s pentru extragerea setărilor.
Theme settings,Setări de teme
How should themes inheritance be used.,Cum ar trebui să fie utilizată moștenirea temelor.
API CORS settings,Setări API CORS
<strong>WARNING</strong>: High risk security settings! Change them if you know what you are doing!,<strong>AVERTISMENT</strong>: Setări de securitate cu risc ridicat! Modificați-le doar dacă știți ce faceți!
Allow CORS calls,Acceptă cereri CORS
Is platform accepting CORS calls? Usually front-end applications from other domains.,"Platformul acceptă apeluri CORS? De obicei, aplicațiile front-end din alte domenii."
CORS Origin,CORS Origine
"Comma separated domains from which platform accepts CORS calls. * - accept from all, empty - platform will send as origin what was sent in request (Access-Control-Allow-Origin)","Domenii separate prin virgulă din care platforma acceptă apeluri CORS. * - acceptă de la toate, gol - platforma va trimite ca origine ceea ce a fost trimis în cerere (Access-Control-Allow-Origin)"
CORS Methods,Metode CORS
"Comma separated HTTP methods which platform accepts for CORS calls. * - accept all methods, empty - doesn't respond with this header (Access-Control-Allow-Methods)","Metodele HTTP acceptate de platformă pentru apelurile CORS, separate prin virgulă. * - acceptă toate metodele, gol - nu răspunde cu acest antet (Access-Control-Allow-Methods)"
CORS Headers,Antete CORS
"Comma separated HTTP headers which platform accepts for CORS calls. * - accept all headers, empty - doesn't respond with this header (Access-Control-Allow-Headers)","Antetele HTTP separate prin virgulă pe care platforma le acceptă pentru apelurile CORS. * - acceptă toate antetele, gol - nu răspunde cu acest antet (Access-Control-Allow-Headers)"
CORS Max Age (seconds),Durata maximă a CORS (în secunde)
Preflight requests can be cached. This represents how much time should a client cache OPTIONS response. -1 - do not send this header (Access-Control-Max-Age),Cererile de prelucrare preliminară pot fi memorate în cache. Acest lucru reprezintă cât timp ar trebui să memoreze clientul răspunsul OPTIONS în cache. -1 - nu trimiteți acest antet (Access-Control-Max-Age)
Settings related to REST API calls made to this platform.,Setări legate de apelurile API REST efectuate către această platformă.
Allow API calls,Permite apelurile API
Are API calls allowed to this platform?,Sunt permise apelurile API către această platformă?
Allow HTTP API calls,Permite apelurile API HTTP
Allow API calls over HTTP? If this checkbox is not ticked only HTTPS calls will be accepted.,"Permite apelurile API peste HTTP? Dacă această casetă nu este bifată, vor fi acceptate doar apeluri HTTPS."
API calls WEB emulation,Apelurile API emulează WEB
Allow API calls to simulate a normal web call by interpreting JSON body as POST variables. (should send %s=1 as query parameter),Permite apelurile API să simuleze un apel web normal prin interpretarea corpului JSON ca variabile POST. (ar trebui să trimită %s=1 ca parametru de interogare)
Allow bearer token authentication,Permite autentificarea cu token de tip bearer
Allow API authentication using bearer token mechanism. To obtain bearer tokens 3rd party should call login script using API call and ask a bearer token in response.,"Permiteți autentificarea API folosind mecanismul de token bearer. Pentru a obține token-uri bearer, o terță parte ar trebui să apeleze scriptul de conectare folosind apelul API și să solicite un token bearer ca răspuns."
Monitor incoming calls,Monitorizează cererile care vin
Incoming API calls will be saved in a special monitoring table.,Apelurile API primite vor fi salvate într-o tabelă specială de monitorizare.
Monitor incoming CORS calls,Monitorizează cererile CORS
Should framework also log incoming CORS OPTIONS method calls?,Ar trebui ca framework-ul să înregistreze și apelurile metodei CORS OPTIONS primite?
Monitor outgoing API calls,Monitorizează cererile care pleacă
Gives option to programatically add outgoing calls to API monitoring report table.,Oferă opțiunea de a adăuga programatic apeluri de ieșire la tabelul de raportare a monitorizării API.
Log full request body,Logează tot conținutul cererii
Log full request body as JSON.,Logează tot conținutul cererii ca JSON.
Log full response body,Logează tot conținutul răspunsului
Log full response body as JSON.,Logează tot conținutul răspunsului ca JSON.
GraphQL settings,Setări GraphQL
Settings related to GraphQL calls made to this platform.,Setări legate de cererile GraphQL făcute către această platformă.
Allow GraphQL calls,Acceptă cereri GraphQL
Are GraphQL calls allowed to this platform?,Sunt permise apelurile GraphQL către această platformă?
Monitor GraphQL calls,Monitorizează cererile GraphQL
If GraphQL calls are monitored.,Dacă apelurile GraphQL sunt monitorizate.
Agent Jobs Settings,Setări Agent Joburi
Settings related to agent jobs details on this platform.,Setări legate de joburile de agent pe această platformă.
Monitor agent jobs,Monitorizare joburi agent
"Monitor start, success or failure of agent jobs running on this platform","Monitorizați pornirea, succesul sau eșecul sarcinilor agenților care rulează pe această platformă"
Jobs allowance interval,Interval de alocație pentru locuri de muncă
"(seconds) When calculating next time agent job has to run, substract this time iterval. This should be big for slow servers. Crontab interval should be biger than this value!","(secunde) Atunci când se calculează momentul următor în care trebuie să ruleze sarcina agentului, se scade acest interval de timp. Acesta ar trebui să fie mare pentru serverele lente. Intervalul crontab ar trebui să fie mai mare decât această valoare!"
System Logs Settings,Setări Loguri Sistem
Settings related to how system should handle logs,Setări legate de cum ar trebui sistemul să utilizeze logurile
Data Retention Settings,Setări Păstrare Date
Settings related to data retention functionality,Setări legate de funcționarea păstrării datelor
AI Translations Settings,Setări de traducere AI
Settings related to AI translation functionality,Setări legate de funcționalitatea de traducere AI
UI Translations,Traduceri UI
Unknown error occured.,A apărut o eroare necunoscută.
Invalid action provided.,Acțiune invalidă furnizată.
Error validating request.,Eroare la validarea cererii.
Please provide a language for PO file.,Vă rugăm să furnizați o limbă pentru fișierul PO.
Error generating PO file.,Eroare la generarea fișierului PO.
Error starting UI translations background job.,Eroare la pornirea sarcinii de fundal pentru traduceri UI.
Error sending STOP request to UI translations background job.,Eroare la trimiterea cererii STOP către job-ul de fundal pentru traduceri UI.
Error obtaining PO format instance.,Eroare la obținerea instanței formatului PO.
Error generating POT file.,Eroare la generarea fișierului POT.
Please provide a PO file.,Vă rugăm să furnizați un fișier PO.
Invalid language for provided PO file.,Limbă invalidă pentru fișierul PO furnizat.
Error parsing PO file.,Eroare la parsarea fișierului PO.
Edit Role,Editează Rol
Invalid role...,Rol necunoscut...
Role details saved.,Detaliile rolului salvate in baza de date.
Role details saved...,Detalii rol salvate...
Add Tenant,Adăugare chiriaș
Tenant details saved...,Detaliile chiriașului au fost salvate...
Manage Tenant's Plugins,Gestionați modulele de extensie ale chiriașului
Selected plugins activated with success.,Modulele selectate au fost activate cu succes.
Selected plugins inactivated with success.,Modulele selectate au fost dezactivate cu succes.
Default,Implicit
Not Installed,Nu e instalat
Provided tenant is invalid.,Chiriașul furnizat este invalid.
Please provide a list of plugins.,Vă rugăm să furnizați o listă de module.
Error obtaining a list of framework plugins.,Eroare la obținerea unei liste de module plugin pentru framework.
Cannot change status for plugin %s.,Nu se poate schimba statusul pentru pluginul %s.
Error inactivating plugin %s on tenant %s.,Eroare la inactivarea plugin-ului %s pentru tenantul %s.
Error activating plugin %s on tenant %s.,Eroare la activarea plugin-ului %s pentru tenantul %s.
Please provide a valid plugin id.,Vă rugăm să oferiți un id de plugin valid.
Unknown action in request.,Acțiune necunoscută în cerere
Edit Tenant,Editare chiriaș
Invalid tenant...,Chiriaș nevalid...
Tenant details saved.,Detaliile chiriașului au fost salvate.
Tenants List,Listă chiriași
tenant,chiriaș
tenants,chiriași
Invalid tenant or tenant was not found in database.,Tenant invalid sau tenantul nu a fost găsit în baza de date.
Tenant details saved in database.,Detaliile tenantului salvate în baza de date.
