# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Test connection,Test conexiune
Error loading required resources.,Eroare la încărcarea resurselor necesare.
Active,Activ
You should login first...,Trebuie mai întâi să vă logaţi...
You don't have rights to access this section.,Nu aveți destule drepturi pentru accesarea acestei secțiuni.
 - Choose - , - Alege - 
Inactivate,Inactivează
Activate,Activează
Delete,Șterge
Title,Titlu
Status,Status
N/A,N/A
Undefined,Nedefinit
Created,Creat
Invalid,Invalid
Actions,Acţiuni
Unknown action.,Acțiune necunoscută.
Error saving details to database. Please try again.,Eroare la salvarea detaliilor în baza de date. Încercați din nou.
NOTE: You cannot undo this action!,NOTĂ: Nu puteți anula această acțiune!
Back,Înapoi
Started,Început
You don't have enough rights to access this section.,Nu aveti destule drepturi pentru accesarea acestei secţiuni.
Save changes,Salvează modificările
Location,Locaţie
Couldn't get parent plugin object.,Nu s-a putut obține obiectul pluginului părinte.
Invalid flow parameters.,Parametrii fluxului sunt nevalizi.
Inactive,Inactiv
Deleted,Şters
TOTAL,TOTAL
Password,Parola
Timeout,Timp expirare
Default backups location,Locația implicită a backup-urilor
"A writable directory where backup files will be generated. If path is not absolute, it will be relative to framework uploads dir (%s).","Un director inscriptibil unde vor fi generate fișierele de rezervă. În cazul în care calea nu este absolută, acesta va fi relativ la cadru încarcă dir (%s)."
mysqldump binary location,Locația binarului mysqldump
Full path (including binary/executable file) to mysqldump application. If only executable name is provided we assume it is included in environment path.,"Calea completă (inclusiv fișierul binar/executabil) către aplicația mysqldump. Dacă este furnizat doar numele executabilului, presupunem că este inclus în calea de mediu."
zip binary location,locatia binara zip
Full path (including binary/executable file) to zip application. If only executable name is provided we assume it is included in environment path.,"Calea completă (inclusiv fișierul binar/executabil) către aplicația zip. Dacă este furnizat doar numele executabilului, presupunem că este inclus în calea de mediu."
Couldn't obtain current location details.,Nu s-au putut obține detaliile locației curente.
At the moment directory doesn't exist. System will try creating it at first run.,În acest moment directorul nu există. Sistemul va încerca să-l creeze la prima rulare.
Resolved directory is not writeable.,Directorul rezolvat nu poate fi scris.
Couldn't obtain directory stats.,Nu s-au putut obține statisticile directorului.
"Total space: %s, Free space: %s","Spațiu total: %s, Spațiu liber: %s"
Couldn't resolve location path.,Nu s-a putut rezolva calea locației.
Couldn't resolve backup location.,Nu s-a putut rezolva locația de backup.
Backup location is not a directory.,Locația de backup nu este un director.
Backup location doesn't exist or is not a directory.,Locația de backup nu există sau nu este un director.
Couldn't create full directory structure for backup rule.,Nu s-a putut crea structura completă a directorului pentru regula de backup.
Invalid directory. Cannot obtain stats.,Director invalid. Imposibil de obținut statisticile.
Weekly Backup (%s),Backup săptămânal (%s)
Daily Backup,Backup Zilnic
Couldn't un-suspend all backup rules.,Nu s-au putut reactiva toate regulile de backup suspendate.
Couldn't suspend all backup rules.,Nu s-au putut suspenda toate regulile de backup.
Backup Results List,Listă rezultate backup
backup result,rezultat backup
backup results,rezultate backup
Backup Results,Rezultate Backup
Invalid backup result or backup result not found in database.,Rezultatul de backup invalid sau rezultatul de backup nu a fost găsit în baza de date.
Results of rules containing this in title,Rezultatele regulilor care conțin aceasta în titlu
Rule,Regulă
Where,Unde
What,Ce
Required backup results deleted with success.,Rezultatele de backup necesare au fost șterse cu succes.
Deleting selected backup results failed. Please try again.,Ștergerea rezultatelor de backup selectate a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected backup results. Backup results which failed deletion are still selected. Please try again.,Ștergerea tuturor rezultatelor de backup selectate a eșuat. Rezultatele de backup care nu au putut fi șterse rămân selectate. Vă rugăm să încercați din nou.
Backup result deleted with success.,Rezultatul backup-ului a fost șters cu succes.
Deleting backup result failed. Please try again.,Ștergerea rezultatului de backup a eșuat. Vă rugăm să încercați din nou.
Cannot delete backup result. Backup result not found in database.,Nu se poate șterge rezultatul de backup. Rezultatul de backup nu a fost găsit în baza de date.
%s bytes,%s bytes
"Total: %s, Free: %s","Total: %s, Liber: %s"
View files,Vezi fişiere
Delete backup result,Şterge rezultat backup
Are you sure you want to DELETE this backup result?,Sunteți sigur că doriți să ștergeți acest rezultat de backup?
