# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Username,Nome utente
Password,Password
Route,Route
Couldn't load template from plugin settings.,Impossibile caricare modello da impostazioni del plugin.
Error loading SMTP library.,Errore nel caricamento della libreria SMTP.
Failed validating main email template file.,Impossibile convalidare file di modello di e-mail principale.
Failed validating email template file.,Impossibile convalidare file di modello di e-mail.
Invalid SMTP route.,Route SMTP non valido.
Rendering template %s resulted in empty buffer.,Rendering modello %s ha provocato buffer vuoto.
Error sending email.,Errore durante l'invio e-mail.
To parameter is not an email.,A parametro non è una e-mail.
Email body is empty.,Corpo e-mail è vuoto.
Error sending email using native function.,Errore durante l'invio e-mail utilizzando la funzione nativa.
Error sending email using SMTP function.,Errore durante l'invio e-mail utilizzando la funzione SMTP.
Mandatory SMTP parameters not set.,Parametri SMTP obbligatori non impostate.
Error sending email using SMTP library.,Errore durante l'invio e-mail utilizzando la libreria SMTP.
Mandatory native mail parameters not set.,Parametri email native obbligatorie non impostate.
Localhost,Localhost
What hostname should be reported to SMTP server,Quale nome host deve essere segnalato al server SMTP
SMTP Host,SMTP Host
SMTP server used to send emails,Server SMTP utilizzato per inviare e-mail
SMTP Port,Porta SMTP
SMTP Timeout,Timeout di SMTP
SMTP Encryption,Crittografia SMTP
SMTP Authetication,Autenticazione SMTP
