# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Couldn't load accounts model.,Impossibile caricare gli accounts modello.
You should login first...,Si dovrebbe effettuare il primo login ...
 - Choose - , - Scegliere - 
Delete,Cancellare
N/A,N/A
Invalid,Non valido
Actions,Azioni
Unknown action.,Azione sconosciuta.
Couldn't load roles model.,Impossibile caricare i ruoli del modello.
Error loading accounts model.,Errore di caricamento del modello degli accounts.
Message deleted with success.,Messaggio cancellato con successo.
Error rendering template [%s].,Errore nella traduzione del modello [%s].
Couldn't load messages plugin.,Non poteva caricare i messaggi plugin.
You don't have rights to read messages.,Non si dispone dei diritti per leggere i messaggi.
Couldn't load messages model.,Impossibile caricare i messaggi modello.
Couldn't load message details.,Impossibile caricare i dettagli del messaggio.
No more messages...,Non ci sono altri messaggi ...
Unknown author,Autore sconosciuto
Error rendering messages. Please retry.,Errore nella traduzionde dei messaggi. Si prega di riprovare.
Compose Message,Componi Messaggio
Message queued... Server will send it as soon as possible.,Messaggio in coda ... Il server lo invierà il più presto possibile.
Unknown message or you don't have rights to reply to this messages.,Messaggio sconosciuto o non si dispone dei diritti per rispondere a questi messaggi.
You don't have rights to compose messages.,Non si dispone dei diritti per scrivere messaggi.
You cannot reply to this message. Author not reachable.,È Impossibile rispondere a questo messaggio. L'autore non è raggiungibile.
Re: ,Re: 
Message details saved in database.,I dettagli del messaggio sono stati salvati nel database.
Error sending message. Please try again.,Errore durante l'invio del messaggio. Si prega di riprovare.
Inbox,Posta in arrivo
Couldn't load required functionality.,Impossibile caricare la funzionalità richiesta.
message,messaggio
messages,messaggi
Message details not found in database.,I dettagli del messaggio non sono stati trovati nel database.
Address details saved in database.,I dettagli dell'indirizzo sono stati salvati nel database.
Mark as read,Segna come letto
From,Da
Author messaging handle contains this value,Handle della messaggistica dell'autore contiene questo valore
To,A
Destination messagin handle contains this value,La gestione della messaggistica del destinatario contiene questo valore
Subject,Soggetto
Subject contains this value,Il soggetto contiene questo valore
System,Sistema
Last reply,Ultima risposta
Required messages deleted with success.,La richiesta dell'eliminazione dei messaggi è avvenuta con successo.
Deleting selected messages failed. Please try again.,L'eliminazione dei messaggi selezionati non è riuscita. Si prega di riprovare.
Failed deleting all selected messages. Messages which failed deletion are still selected. Please try again.,Impossibile eliminare tutti i messaggi selezionati. I messaggi la cui eliminazione non è riuscita sono ancora selezionati. Si prega di riprovare.
You don't have rights to manage messages.,Non si dispone dei diritti per gestire i messaggi.
Required messages marked as read with success.,I messaggi obbligatori sono stati contrassegnati come letti con successo.
Marking selected messages as read failed. Please try again.,Il contrassegno dei messaggi selezionati come letto è fallito. Si prega di riprovare.
Failed marking as read all selected messages. Failed messages are still selected. Please try again.,Impossibile segnare come letti tutti i messaggi selezionati. I messaggi selezionati che non sono stati segnati come letti sono ancora selezionati. Si prega di riprovare.
Deleting message failed. Please try again.,L'eliminazione del messaggio non è riuscita. Si prega di riprovare.
Cannot delete address. Address not found in database.,Impossibile cancellare indirizzo. L'indirizzo non è stato trovato nel database.
You (%s),Tu (%s)
