# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Eroare la încărcarea resurselor necesare.
Error extracting QR code token.,Eroare la generarea unui bearer token.
Error rendering QR code.,Eroare la randarea paginii template-ului.
Error obtaining PHS libraries directory paths.,Eroare la obţinerea căii către directorul de import export pentru produse.
Error bootstraping QR codes functionality.,Eroare la incărcarea librariei de notificări.
Invalid QR code image output type.,Tip de dispozitiv invalid.
Error obtaining file name token.,Eroare la decodarea tokenului bearer.
Error rendering QR code: %s.,Nu am putut randa template-ul [%s].
QR Codes settings,Salvare setări
Settings related to QR codes functionality.,Setări legate de înregistrarea unui cont.
Error loading QR code library.,Eroare la incărcarea librariei de BB code.
Error extracting QR code token details.,Eroare la citirea detaliilor comenzii.
Invalid QR code token.,Token Google invalid.
QR code token expired.,Nici o locaţie de cod.
Error obtaining QR code image token.,Eroare la obţinerea credenţialelor de SMTP.
Error creating QR code folder.,Eroare la crearea fişierului de credenţiale pentru export.
Please provide an URL for QR code.,Vă rugăm să oferiți un brand sau un cod.
Error creating QR code directory.,Eroare la incărcarea librariei de BB code.
